

============================== EXP at 2026-04-29 09:39:16 ==============================


============================== EXP at 2026-04-29 09:51:00 ==============================


============================== EXP at 2026-04-29 10:44:22 ==============================


============================== EXP at 2026-04-29 15:01:43 ==============================
dev | avg_loss: 2.2266845703125 | {'exact_match': 0.0, 'rougeL': 9.3261} | threshold: 0.0
train | epoch   0 | Iter:    638/  7140 | global iter:    320/  3570 | loss: 1.0768 | ds_loss: 0.9815 | lr: 4.9022e-04 | scale:  2048.0000 | micro time: 0.807 | step time: 1.632
train | epoch   0 | Iter:    658/  7140 | global iter:    330/  3570 | loss: 1.1240 | ds_loss: 1.0268 | lr: 4.8960e-04 | scale:  2048.0000 | micro time: 0.853 | step time: 1.617
train | epoch   0 | Iter:    678/  7140 | global iter:    340/  3570 | loss: 1.0774 | ds_loss: 0.9842 | lr: 4.8896e-04 | scale:  2048.0000 | micro time: 0.801 | step time: 1.612
train | epoch   0 | Iter:    698/  7140 | global iter:    350/  3570 | loss: 1.0541 | ds_loss: 0.9616 | lr: 4.8830e-04 | scale:  2048.0000 | micro time: 0.817 | step time: 1.616
train | epoch   0 | Iter:    718/  7140 | global iter:    360/  3570 | loss: 1.0691 | ds_loss: 0.9752 | lr: 4.8763e-04 | scale:  2048.0000 | micro time: 0.823 | step time: 1.623
train | epoch   0 | Iter:    738/  7140 | global iter:    370/  3570 | loss: 1.0788 | ds_loss: 0.9875 | lr: 4.8694e-04 | scale:  2048.0000 | micro time: 0.815 | step time: 1.609
train | epoch   0 | Iter:    758/  7140 | global iter:    380/  3570 | loss: 1.0616 | ds_loss: 0.9739 | lr: 4.8623e-04 | scale:  2048.0000 | micro time: 0.823 | step time: 1.622
train | epoch   0 | Iter:    778/  7140 | global iter:    390/  3570 | loss: 1.0436 | ds_loss: 0.9526 | lr: 4.8550e-04 | scale:  2048.0000 | micro time: 0.817 | step time: 1.623
train | epoch   0 | Iter:    798/  7140 | global iter:    400/  3570 | loss: 1.0803 | ds_loss: 0.9865 | lr: 4.8475e-04 | scale:  2048.0000 | micro time: 0.838 | step time: 1.637
train | epoch   0 | Iter:    818/  7140 | global iter:    410/  3570 | loss: 0.9993 | ds_loss: 0.9071 | lr: 4.8398e-04 | scale:  2048.0000 | micro time: 0.833 | step time: 1.650
